timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655182244455,935,GetAPI,200,OK,Thread Group 1-2,text,true,,1847,130,5,5,https://reqres.in/api/users?page=2,931,0,873
1655182244654,736,GetAPI,200,OK,Thread Group 1-3,text,true,,1845,130,5,5,https://reqres.in/api/users?page=2,732,0,673
1655182244853,536,GetAPI,200,OK,Thread Group 1-4,text,true,,1849,130,5,5,https://reqres.in/api/users?page=2,533,0,480
1655182244328,1061,GetAPI,200,OK,Thread Group 1-1,text,true,,1845,130,5,5,https://reqres.in/api/users?page=2,1057,0,998
1655182245053,336,GetAPI,200,OK,Thread Group 1-5,text,true,,1849,130,5,5,https://reqres.in/api/users?page=2,333,0,274
1655182245391,319,PostAPI,201,Created,Thread Group 1-3,text,true,,809,220,5,5,https://reqres.in/api/users,319,0,0
1655182245391,325,PostAPI,201,Created,Thread Group 1-4,text,true,,811,220,5,5,https://reqres.in/api/users,325,0,0
1655182245391,348,PostAPI,201,Created,Thread Group 1-1,text,true,,811,220,5,5,https://reqres.in/api/users,348,0,0
1655182245391,370,PostAPI,201,Created,Thread Group 1-5,text,true,,813,220,5,5,https://reqres.in/api/users,370,0,0
1655182245391,378,PostAPI,201,Created,Thread Group 1-2,text,true,,817,220,5,5,https://reqres.in/api/users,378,0,0
1655182245716,316,PutAPI,200,OK,Thread Group 1-4,text,true,,797,228,5,5,https://reqres.in/api/users/2,316,0,0
1655182245711,331,PutAPI,200,OK,Thread Group 1-3,text,true,,795,228,5,5,https://reqres.in/api/users/2,331,0,0
1655182245739,321,PutAPI,200,OK,Thread Group 1-1,text,true,,799,228,5,5,https://reqres.in/api/users/2,321,0,0
1655182245769,315,PutAPI,200,OK,Thread Group 1-2,text,true,,795,228,5,5,https://reqres.in/api/users/2,315,0,0
1655182245762,323,PutAPI,200,OK,Thread Group 1-5,text,true,,797,228,5,5,https://reqres.in/api/users/2,323,0,0
1655182246033,324,DeleteAPI,204,No Content,Thread Group 1-4,,true,,718,211,5,5,https://reqres.in/api/users/2,0,0,0
1655182246043,323,DeleteAPI,204,No Content,Thread Group 1-3,,true,,714,211,4,4,https://reqres.in/api/users/2,0,0,0
1655182246061,322,DeleteAPI,204,No Content,Thread Group 1-1,,true,,712,211,3,3,https://reqres.in/api/users/2,0,0,0
1655182246085,304,DeleteAPI,204,No Content,Thread Group 1-5,,true,,720,211,2,2,https://reqres.in/api/users/2,0,0,0
1655182246084,321,DeleteAPI,204,No Content,Thread Group 1-2,,true,,714,211,1,1,https://reqres.in/api/users/2,0,0,0
